,Year,value
0,1960,8.58293664258675
1,1961,8.64156901650291
2,1962,8.83568804691864
3,1963,9.2264399086758
4,1964,9.75907343064386
5,1965,10.6223213909378
6,1966,10.3280924384173
7,1967,10.9556247987118
8,1968,11.2101677075527
9,1969,11.6005543504852
10,1970,11.8028905412969
11,1971,11.8091175697612
12,1972,11.9516315549822
13,1973,12.7796868460389
14,1974,12.559668731327
15,1975,12.6598998056575
16,1976,12.4167917765268
17,1977,13.2318961386697
18,1978,14.069858615406
19,1979,14.1290919801571
20,1980,15.0249160087122
21,1981,15.4325008374087
22,1982,15.4249318091975
23,1983,14.6400841303923
24,1984,15.2209752959341
25,1985,15.3084102043407
26,1986,14.9805731533736
27,1987,15.7469578022492
28,1988,15.7961677816625
29,1989,16.5198629151204
30,1990,15.4467304615853
31,1991,15.3153205276556
32,1992,15.3392397827951
33,1993,15.4163128997566
34,1994,15.6073928871465
35,1995,15.9921425409473
36,1996,16.3612036480804
37,1997,16.5669384889561
38,1998,17.5116241782908
39,1999,17.5969565676847
40,2000,17.689656972798
41,2001,17.7695358780199
42,2002,17.9574992112521
43,2003,17.6920293133086
44,2004,18.1478978904379
45,2005,18.117853570518
46,2006,18.1206789094546
47,2007,18.5028519848662
48,2008,18.2830412439057
49,2009,18.2074249597772
50,2010,17.5814449601144
51,2011,17.2681103655036
52,2012,16.9692565563587
53,2013,16.3986459950997
54,2014,15.7558761009156
55,2015,15.7864494009173
56,2016,15.8720795379851
57,2017,15.7386474030825
58,2018,15.475516485656
