State,Month,<2.5kw,2.5kw-4.5kw,4.5kw-6.5kw,6.5kw-9.5kw,9.5kw-14kw,14kw-25kw,25kw-50kw,50kw-100kw,100kw-5MW,5MW-30MW,30+MW
VIC,2007-01,21,3,0,0,0,0,0,0,0,0,0
VIC,2007-02,43,3,0,0,0,0,0,0,0,0,0
VIC,2007-03,78,9,5,0,0,0,0,0,0,0,0
VIC,2007-04,121,21,10,0,0,0,0,0,0,0,0
VIC,2007-05,176,21,15,0,0,0,0,0,0,0,0
VIC,2007-06,224,31,15,0,0,0,0,0,0,0,0
VIC,2007-07,277,46,15,9,0,0,0,0,0,0,0
VIC,2007-08,378,62,15,9,0,0,0,0,0,0,0
VIC,2007-09,461,104,26,9,0,0,0,0,0,0,0
VIC,2007-10,609,150,31,9,10,16,0,0,0,0,0
VIC,2007-11,732,172,36,9,10,16,0,0,0,0,0
VIC,2007-12,823,208,42,9,10,16,0,0,0,0,0
VIC,2008-01,934,221,52,9,10,16,0,0,0,0,0
VIC,2008-02,1059,254,57,16,10,16,0,0,0,0,0
VIC,2008-03,1225,286,57,16,10,16,0,0,0,0,0
VIC,2008-04,1460,317,89,30,10,16,0,0,0,0,0
VIC,2008-05,1707,386,100,37,10,16,0,0,0,0,0
VIC,2008-06,1849,408,122,37,10,16,0,0,0,0,0
VIC,2008-07,2007,457,139,37,10,36,0,0,0,0,0
VIC,2008-08,2136,478,144,37,10,36,0,0,0,0,0
VIC,2008-09,2298,488,161,37,10,36,0,0,0,0,0
VIC,2008-10,2501,509,166,37,10,36,0,0,0,0,0
VIC,2008-11,2712,527,171,37,10,36,0,0,0,0,0
VIC,2008-12,3018,558,176,37,10,36,0,0,0,0,0
VIC,2009-01,3346,571,186,37,10,36,0,0,0,0,0
VIC,2009-02,3900,583,191,37,10,36,0,0,0,0,0
VIC,2009-03,4385,593,201,37,10,36,0,0,0,0,0
VIC,2009-04,4799,602,207,44,10,36,0,0,0,0,0
VIC,2009-05,5415,605,219,44,10,36,0,0,0,0,0
VIC,2009-06,5928,626,229,44,10,36,0,0,0,0,0
VIC,2009-07,6618,668,252,61,10,36,0,0,0,0,0
